config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.0005_bs128_dr0.0_ls0.1,42,1,3.7253,0.4244,2.0640,0.6429,26.25
lr0.0005_bs128_dr0.0_ls0.1,42,2,1.3453,0.8403,1.2654,0.8678,26.15
lr0.0005_bs128_dr0.0_ls0.1,42,3,1.0211,0.9340,1.0374,0.9196,26.37
lr0.0005_bs128_dr0.0_ls0.1,42,4,0.9050,0.9626,0.9159,0.9582,26.84
lr0.0005_bs128_dr0.0_ls0.1,42,5,0.8595,0.9726,0.8612,0.9681,27.43
lr0.0005_bs128_dr0.0_ls0.1,42,6,0.8339,0.9774,0.8624,0.9680,27.87
lr0.0005_bs128_dr0.0_ls0.1,42,7,0.8189,0.9792,0.8245,0.9757,28.33
lr0.0005_bs128_dr0.0_ls0.1,42,8,0.7997,0.9836,0.8051,0.9803,28.58
lr0.0005_bs128_dr0.0_ls0.1,42,9,0.7891,0.9849,0.7963,0.9813,28.94
lr0.0005_bs128_dr0.0_ls0.1,42,10,0.7802,0.9862,0.7970,0.9789,29.09
lr0.0005_bs128_dr0.0_ls0.1,42,11,0.7769,0.9866,0.7892,0.9816,29.41
lr0.0005_bs128_dr0.0_ls0.1,42,12,0.7672,0.9878,0.7753,0.9839,29.69
lr0.0005_bs128_dr0.0_ls0.1,42,13,0.7627,0.9884,0.7942,0.9841,29.82
lr0.0005_bs128_dr0.0_ls0.1,42,14,0.7571,0.9893,0.7747,0.9839,29.95
lr0.0005_bs128_dr0.0_ls0.1,42,15,0.7517,0.9905,0.7681,0.9837,30.06
lr0.0005_bs128_dr0.0_ls0.1,42,16,0.7502,0.9902,0.7604,0.9869,30.19
lr0.0005_bs128_dr0.0_ls0.1,42,17,0.7461,0.9910,0.7663,0.9842,30.36
lr0.0005_bs128_dr0.0_ls0.1,42,18,0.7450,0.9909,0.7513,0.9883,30.53
lr0.0005_bs128_dr0.0_ls0.1,42,19,0.7425,0.9907,0.7519,0.9882,30.66
