config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.0005_bs128_dr0.0_ls0.1,42,1,4.5790,0.5477,1.3709,0.8342,27.20
lr0.001_bs64_dr0.0_ls0.0,42,1,4.1209,0.6079,0.5176,0.8649,35.72
lr0.001_bs64_dr0.0_ls0.0,42,2,0.3458,0.9016,0.2891,0.9168,73.78
lr0.001_bs64_dr0.0_ls0.0,42,3,0.2188,0.9380,0.2004,0.9470,187.29
lr0.001_bs64_dr0.0_ls0.0,42,4,0.1647,0.9531,0.1786,0.9499,366.63
lr0.001_bs64_dr0.0_ls0.0,42,5,0.1299,0.9628,0.1036,0.9684,456.05
lr0.001_bs64_dr0.0_ls0.0,42,6,0.1050,0.9699,0.1126,0.9696,255.37
lr0.001_bs64_dr0.0_ls0.0,42,7,0.0933,0.9721,0.0980,0.9713,92.86
lr0.001_bs64_dr0.0_ls0.0,42,8,0.0794,0.9767,0.0947,0.9738,57.64
lr0.001_bs64_dr0.0_ls0.0,42,9,0.0807,0.9775,0.0929,0.9764,49.14
lr0.001_bs64_dr0.0_ls0.0,42,10,0.0663,0.9803,0.0817,0.9753,44.50
lr0.001_bs64_dr0.0_ls0.0,42,11,0.0598,0.9814,0.0864,0.9752,41.14
lr0.001_bs64_dr0.0_ls0.0,42,12,0.0602,0.9835,0.0733,0.9798,39.40
lr0.001_bs64_dr0.0_ls0.0,42,13,0.0516,0.9845,0.0745,0.9794,37.93
lr0.001_bs64_dr0.0_ls0.0,42,14,0.0548,0.9833,0.0692,0.9803,37.48
lr0.001_bs64_dr0.0_ls0.0,42,15,0.0466,0.9860,0.0657,0.9834,36.95
lr0.001_bs64_dr0.0_ls0.0,42,16,0.0403,0.9880,0.0707,0.9810,36.69
lr0.001_bs64_dr0.0_ls0.0,42,17,0.0411,0.9874,0.0613,0.9836,36.54
lr0.001_bs64_dr0.0_ls0.0,42,18,0.0405,0.9879,0.0675,0.9824,36.42
lr0.001_bs64_dr0.0_ls0.0,42,19,0.0365,0.9884,0.0711,0.9816,36.20
lr0.001_bs64_dr0.0_ls0.0,42,20,0.0348,0.9892,0.0629,0.9828,36.04
lr0.001_bs64_dr0.0_ls0.0,42,21,0.0361,0.9888,0.0564,0.9849,35.85
lr0.001_bs64_dr0.0_ls0.0,42,22,0.0314,0.9902,0.0579,0.9867,35.88
lr0.001_bs64_dr0.0_ls0.0,42,23,0.0311,0.9903,0.0773,0.9830,36.09
