config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.15_ls0.15,42,1,1.5836,0.7796,0.8990,0.9586,31.65
lr0.001_bs64_dr0.15_ls0.15,42,2,0.9129,0.9358,0.7974,0.9819,31.41
lr0.001_bs64_dr0.15_ls0.15,42,3,0.8437,0.9585,0.7721,0.9868,31.40
lr0.001_bs64_dr0.15_ls0.15,42,4,0.8159,0.9650,0.7716,0.9870,31.42
lr0.001_bs64_dr0.15_ls0.15,42,5,0.7953,0.9707,0.7629,0.9840,31.46
lr0.001_bs64_dr0.15_ls0.15,42,6,0.7837,0.9738,0.7396,0.9907,31.35
lr0.001_bs64_dr0.15_ls0.15,42,7,0.7744,0.9756,0.7368,0.9915,31.17
lr0.001_bs64_dr0.15_ls0.15,42,8,0.7672,0.9781,0.7486,0.9896,31.10
lr0.001_bs64_dr0.15_ls0.15,42,9,0.7615,0.9780,0.7239,0.9921,31.03
lr0.001_bs64_dr0.15_ls0.15,42,10,0.7570,0.9794,0.7214,0.9932,31.18
lr0.001_bs64_dr0.15_ls0.15,42,11,0.7530,0.9802,0.7235,0.9908,31.12
lr0.001_bs64_dr0.15_ls0.15,42,12,0.7480,0.9820,0.7152,0.9948,31.02
lr0.001_bs64_dr0.15_ls0.15,42,13,0.7450,0.9824,0.7159,0.9933,31.11
lr0.001_bs64_dr0.15_ls0.15,42,14,0.7436,0.9829,0.7182,0.9935,31.18
lr0.001_bs64_dr0.15_ls0.15,42,15,0.7409,0.9835,0.7133,0.9949,31.10
lr0.001_bs64_dr0.15_ls0.15,42,16,0.7387,0.9842,0.7117,0.9939,31.14
lr0.001_bs64_dr0.15_ls0.15,42,17,0.7367,0.9846,0.7103,0.9944,31.12
lr0.001_bs64_dr0.15_ls0.15,42,18,0.7369,0.9839,0.7116,0.9945,31.06
lr0.001_bs64_dr0.15_ls0.15,42,19,0.7332,0.9856,0.7122,0.9952,31.23
lr0.001_bs64_dr0.15_ls0.15,42,20,0.7341,0.9853,0.7097,0.9953,31.08
lr0.001_bs64_dr0.15_ls0.15,42,21,0.7322,0.9855,0.7078,0.9953,30.86
lr0.001_bs64_dr0.15_ls0.15,42,22,0.7300,0.9866,0.7060,0.9962,31.13
lr0.001_bs64_dr0.15_ls0.15,42,23,0.7310,0.9856,0.7049,0.9957,31.06
lr0.001_bs64_dr0.15_ls0.15,42,24,0.7258,0.9883,0.7055,0.9957,31.12
lr0.001_bs64_dr0.15_ls0.15,42,25,0.7264,0.9877,0.7067,0.9952,31.16
lr0.001_bs64_dr0.15_ls0.15,42,26,0.7265,0.9877,0.7093,0.9953,30.96
lr0.001_bs64_dr0.15_ls0.15,42,27,0.7248,0.9882,0.7072,0.9950,31.23
lr0.001_bs64_dr0.15_ls0.15,42,28,0.7226,0.9888,0.7069,0.9961,31.25
lr0.001_bs64_dr0.15_ls0.15,42,29,0.7239,0.9885,0.7051,0.9956,31.23
lr0.001_bs64_dr0.15_ls0.15,42,30,0.7226,0.9889,0.7073,0.9948,30.97
lr0.001_bs64_dr0.15_ls0.15,42,31,0.7235,0.9885,0.7071,0.9950,31.08
lr0.001_bs64_dr0.15_ls0.15,42,32,0.7225,0.9889,0.7031,0.9962,31.18
lr0.001_bs64_dr0.15_ls0.15,42,33,0.7211,0.9893,0.7041,0.9958,30.93
lr0.001_bs64_dr0.15_ls0.15,42,34,0.7186,0.9902,0.7047,0.9963,31.21
lr0.001_bs64_dr0.15_ls0.15,42,35,0.7190,0.9901,0.7039,0.9962,31.01
lr0.001_bs64_dr0.15_ls0.15,42,36,0.7188,0.9903,0.7036,0.9960,31.19
lr0.001_bs64_dr0.15_ls0.15,42,37,0.7191,0.9894,0.7031,0.9966,31.21
lr0.001_bs64_dr0.15_ls0.15,42,38,0.7176,0.9904,0.7034,0.9962,31.33
lr0.001_bs64_dr0.15_ls0.15,42,39,0.7168,0.9909,0.7040,0.9958,31.13
lr0.001_bs64_dr0.15_ls0.15,42,40,0.7177,0.9904,0.7038,0.9955,31.06
lr0.001_bs64_dr0.15_ls0.15,42,41,0.7157,0.9912,0.7039,0.9957,31.03
lr0.001_bs64_dr0.15_ls0.15,42,42,0.7164,0.9908,0.7028,0.9962,31.09
lr0.001_bs64_dr0.15_ls0.15,42,43,0.7148,0.9919,0.7031,0.9962,31.19
lr0.001_bs64_dr0.15_ls0.15,42,44,0.7148,0.9914,0.7044,0.9961,31.24
lr0.001_bs64_dr0.15_ls0.15,42,45,0.7155,0.9907,0.7030,0.9964,31.29
lr0.001_bs64_dr0.15_ls0.15,42,46,0.7154,0.9909,0.7021,0.9965,31.13
lr0.001_bs64_dr0.15_ls0.15,42,47,0.7131,0.9923,0.7030,0.9962,31.08
lr0.001_bs64_dr0.15_ls0.15,42,48,0.7133,0.9921,0.7027,0.9966,31.13
lr0.001_bs64_dr0.15_ls0.15,42,49,0.7130,0.9920,0.7010,0.9967,31.22
lr0.001_bs64_dr0.15_ls0.15,42,50,0.7128,0.9925,0.7018,0.9971,30.99
