config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.0_ls0.0,42,1,3.1555,0.3493,1.4430,0.5903,28.61
lr0.001_bs64_dr0.0_ls0.0,42,2,0.6302,0.8112,0.3567,0.8922,28.45
lr0.001_bs64_dr0.0_ls0.0,42,3,0.3028,0.9090,0.2587,0.9223,28.52
lr0.001_bs64_dr0.0_ls0.0,42,4,0.2018,0.9386,0.2054,0.9399,28.64
lr0.001_bs64_dr0.0_ls0.0,42,5,0.1631,0.9500,0.1577,0.9515,28.84
lr0.001_bs64_dr0.0_ls0.0,42,6,0.1358,0.9592,0.1527,0.9537,28.98
lr0.001_bs64_dr0.0_ls0.0,42,7,0.1191,0.9643,0.1417,0.9568,28.99
lr0.001_bs64_dr0.0_ls0.0,42,8,0.1041,0.9679,0.1183,0.9645,29.19
lr0.001_bs64_dr0.0_ls0.0,42,9,0.0947,0.9709,0.1005,0.9705,29.76
lr0.001_bs64_dr0.0_ls0.0,42,10,0.0843,0.9743,0.0883,0.9732,29.91
lr0.001_bs64_dr0.0_ls0.0,42,11,0.0809,0.9748,0.0838,0.9764,29.94
lr0.001_bs64_dr0.0_ls0.0,42,12,0.0732,0.9780,0.0868,0.9742,30.73
lr0.001_bs64_dr0.0_ls0.0,42,13,0.0673,0.9790,0.0835,0.9760,31.96
lr0.001_bs64_dr0.0_ls0.0,42,14,0.0652,0.9801,0.0791,0.9765,31.82
lr0.001_bs64_dr0.0_ls0.0,42,15,0.0604,0.9815,0.0684,0.9794,31.84
lr0.001_bs64_dr0.0_ls0.0,42,16,0.0540,0.9833,0.0579,0.9828,31.80
lr0.001_bs64_dr0.0_ls0.0,42,17,0.0537,0.9827,0.0661,0.9803,31.82
lr0.001_bs64_dr0.0_ls0.0,42,18,0.0488,0.9851,0.0714,0.9784,31.78
lr0.001_bs64_dr0.0_ls0.0,42,19,0.0477,0.9852,0.0558,0.9839,31.77
lr0.001_bs64_dr0.0_ls0.0,42,20,0.0419,0.9868,0.0570,0.9835,30.67
lr0.001_bs64_dr0.0_ls0.0,42,21,0.0454,0.9861,0.0552,0.9847,30.57
lr0.001_bs64_dr0.0_ls0.0,42,22,0.0399,0.9876,0.0517,0.9850,30.57
lr0.001_bs64_dr0.0_ls0.0,42,23,0.0392,0.9874,0.0594,0.9829,30.63
lr0.001_bs64_dr0.0_ls0.0,42,24,0.0385,0.9880,0.0565,0.9836,30.42
lr0.001_bs64_dr0.0_ls0.0,42,25,0.0383,0.9881,0.0523,0.9842,30.46
lr0.001_bs64_dr0.0_ls0.0,42,26,0.0323,0.9893,0.0535,0.9840,30.55
lr0.001_bs64_dr0.0_ls0.0,42,27,0.0336,0.9896,0.0568,0.9855,30.70
lr0.001_bs64_dr0.0_ls0.0,42,28,0.0318,0.9900,0.0481,0.9871,30.64
lr0.001_bs64_dr0.0_ls0.0,42,29,0.0313,0.9902,0.0569,0.9834,30.74
lr0.001_bs64_dr0.0_ls0.0,42,30,0.0300,0.9906,0.0540,0.9849,30.72
lr0.001_bs64_dr0.0_ls0.0,42,31,0.0259,0.9915,0.0487,0.9859,30.58
lr0.001_bs64_dr0.0_ls0.0,42,32,0.0274,0.9913,0.0489,0.9856,30.64
lr0.001_bs64_dr0.0_ls0.0,42,33,0.0291,0.9911,0.0450,0.9874,30.71
lr0.001_bs64_dr0.0_ls0.0,42,34,0.0285,0.9914,0.0507,0.9873,31.23
lr0.001_bs64_dr0.0_ls0.0,42,35,0.0249,0.9920,0.0416,0.9896,31.27
lr0.001_bs64_dr0.0_ls0.0,42,36,0.0224,0.9933,0.0517,0.9868,31.23
lr0.001_bs64_dr0.0_ls0.0,42,37,0.0244,0.9925,0.0428,0.9895,31.20
lr0.001_bs64_dr0.0_ls0.0,42,38,0.0238,0.9925,0.0421,0.9876,31.04
lr0.001_bs64_dr0.0_ls0.0,42,39,0.0220,0.9930,0.0424,0.9882,31.02
lr0.001_bs64_dr0.0_ls0.0,42,40,0.0219,0.9928,0.0404,0.9889,31.04
lr0.001_bs64_dr0.0_ls0.0,42,41,0.0220,0.9931,0.0415,0.9898,31.01
lr0.001_bs64_dr0.0_ls0.0,42,42,0.0209,0.9937,0.0439,0.9890,30.87
lr0.001_bs64_dr0.0_ls0.0,42,43,0.0203,0.9935,0.0508,0.9859,30.85
lr0.001_bs64_dr0.0_ls0.0,42,44,0.0212,0.9933,0.0387,0.9901,30.88
lr0.001_bs64_dr0.0_ls0.0,42,45,0.0183,0.9943,0.0466,0.9868,31.02
lr0.001_bs64_dr0.0_ls0.0,42,46,0.0198,0.9937,0.0343,0.9903,31.18
lr0.001_bs64_dr0.0_ls0.0,42,47,0.0177,0.9945,0.0356,0.9901,31.16
lr0.001_bs64_dr0.0_ls0.0,42,48,0.0188,0.9941,0.0440,0.9888,31.15
lr0.001_bs64_dr0.0_ls0.0,42,49,0.0180,0.9942,0.0420,0.9886,31.17
lr0.001_bs64_dr0.0_ls0.0,42,50,0.0178,0.9947,0.0436,0.9887,31.13
lr0.001_bs64_dr0.0_ls0.0,42,51,0.0164,0.9949,0.0388,0.9903,31.13
lr0.001_bs64_dr0.0_ls0.0,42,52,0.0167,0.9944,0.0410,0.9889,31.10
lr0.001_bs64_dr0.0_ls0.0,42,53,0.0088,0.9973,0.0301,0.9922,31.12
lr0.001_bs64_dr0.0_ls0.0,42,54,0.0076,0.9976,0.0334,0.9917,31.16
lr0.001_bs64_dr0.0_ls0.0,42,55,0.0077,0.9975,0.0280,0.9936,31.08
lr0.001_bs64_dr0.0_ls0.0,42,56,0.0068,0.9977,0.0315,0.9919,31.11
lr0.001_bs64_dr0.0_ls0.0,42,57,0.0063,0.9981,0.0323,0.9921,31.05
lr0.001_bs64_dr0.0_ls0.0,42,58,0.0086,0.9973,0.0389,0.9906,31.10
lr0.001_bs64_dr0.0_ls0.0,42,59,0.0066,0.9980,0.0340,0.9916,31.06
lr0.001_bs64_dr0.0_ls0.0,42,60,0.0071,0.9978,0.0278,0.9931,30.89
lr0.001_bs64_dr0.0_ls0.0,42,61,0.0063,0.9980,0.0332,0.9917,30.91
lr0.001_bs64_dr0.0_ls0.0,42,62,0.0071,0.9976,0.0315,0.9930,30.91
lr0.001_bs64_dr0.0_ls0.0,42,63,0.0056,0.9981,0.0270,0.9942,30.92
lr0.001_bs64_dr0.0_ls0.0,42,64,0.0061,0.9980,0.0318,0.9925,30.93
lr0.001_bs64_dr0.0_ls0.0,42,65,0.0059,0.9982,0.0292,0.9931,30.89
lr0.001_bs64_dr0.0_ls0.0,42,66,0.0058,0.9981,0.0293,0.9930,30.94
lr0.001_bs64_dr0.0_ls0.0,42,67,0.0056,0.9982,0.0298,0.9937,30.91
lr0.001_bs64_dr0.0_ls0.0,42,68,0.0073,0.9976,0.0275,0.9934,30.92
lr0.001_bs64_dr0.0_ls0.0,42,69,0.0062,0.9982,0.0335,0.9926,30.89
lr0.001_bs64_dr0.0_ls0.0,42,70,0.0035,0.9988,0.0267,0.9946,30.92
lr0.001_bs64_dr0.0_ls0.0,42,71,0.0031,0.9992,0.0238,0.9954,30.90
